date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:03	41823/41823	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2021:00:02%20GMT	https://www.google.lk/	/tmp/www.google.com/202408182100/www.google.lk/index.html	(from )
21:00:03	2071/2071	---MCZ	200	added ('OK')	text/plain	date:Wed,%2031%20Jul%202024%2018:30:00%20GMT	https://www.google.lk/robots.txt		(from )
21:00:05	41625/41625	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2021:00:03%20GMT	https://www.google.lk/imghp?hl=en&tab=wi	/tmp/www.google.com/202408182100/www.google.lk/imghp5881.html	(from https://www.google.lk/)
21:00:05	5482/5482	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.lk/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	/tmp/www.google.com/202408182100/www.google.lk/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.lk/)
21:00:06	23884/23884	---MCZ	200	added ('OK')	application/xhtml+xml	date:Sun,%2018%20Aug%202024%2021:00:04%20GMT	https://www.google.lk/preferences?hl=en	/tmp/www.google.com/202408182100/www.google.lk/preferencesfef7	(from https://www.google.lk/)
21:00:07	1109/1109	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/services/	/tmp/www.google.com/202408182100/www.google.lk/services/index.html	(from https://www.google.lk/)
21:00:07	295579/295579	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2021:00:06%20GMT	https://www.google.lk/advanced_search?hl=en&authuser=0	/tmp/www.google.com/202408182100/www.google.lk/advanced_search61d6.html	(from https://www.google.lk/)
21:00:07	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Aug%202024%2021:00:07%20GMT	https://www.google.lk/intl/en/ads/	/tmp/www.google.com/202408182100/www.google.lk/intl/en/ads/index.html	(from https://www.google.lk/)
21:00:07	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Aug%202024%2021:00:07%20GMT	https://www.google.lk/intl/en/about.html	/tmp/www.google.com/202408182100/www.google.lk/intl/en/about.4.delayed	(from https://www.google.lk/)
21:00:08	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Aug%202024%2021:00:08%20GMT	https://www.google.lk/intl/en/about/	/tmp/www.google.com/202408182100/www.google.lk/intl/en/about/index.html	(from https://www.google.lk/)
21:00:08	219/219	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Aug%202024%2021:00:08%20GMT	https://www.google.lk/setprefdomain?prefdom=US&sig=K_Eo4TxGVA_VqBgVVC4KZ-AdjmD-I%3D	/tmp/www.google.com/202408182100/www.google.lk/setprefdomain.5394c.delayed	(from https://www.google.lk/)
21:00:09	1369/1369	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/intl/en/policies/terms/	/tmp/www.google.com/202408182100/www.google.lk/intl/en/policies/terms/index.html	(from https://www.google.lk/)
21:00:09	1377/1377	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/intl/en/policies/privacy/	/tmp/www.google.com/202408182100/www.google.lk/intl/en/policies/privacy/index.html	(from https://www.google.lk/)
21:00:10	41625/41625	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2021:00:09%20GMT	https://www.google.lk/imghp?hl=en&tab=ii	/tmp/www.google.com/202408182100/www.google.lk/imghpee58.html	(from https://www.google.lk/imghp?hl=en&tab=wi)
21:00:10	5482/5482	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.lk/intl/en_ALL/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	/tmp/www.google.com/202408182100/www.google.lk/intl/en_ALL/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.lk/imghp?hl=en&tab=wi)
21:00:12	294845/294845	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2021:00:11%20GMT	https://www.google.lk/advanced_image_search?hl=en&authuser=0	/tmp/www.google.com/202408182100/www.google.lk/advanced_image_search61d6.html	(from https://www.google.lk/imghp?hl=en&tab=wi)
21:00:12	318/318	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Aug%202024%2021:00:12%20GMT	https://www.google.lk/url?q=https://myactivity.google.com/product/search/controls%3Futm_source%3Dgoogle%26utm_medium%3Dpref-page%26hl%3Den%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwj2l_XPt_-HAxUbEFkFHdMeOzYQ7JsICAE&usg=AOvVaw04okir1JOpx_3ZptScBAh7	/tmp/www.google.com/202408182100/www.google.lk/url.95eb8.delayed	(from https://www.google.lk/preferences?hl=en)
21:00:13	269/269	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Aug%202024%2021:00:13%20GMT	https://www.google.lk/url?q=/setting/search/privateresults%3Fhl%3Den%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwj2l_XPt_-HAxUbEFkFHdMeOzYQ-vUJCAI&usg=AOvVaw30Hs_HFRBNJaw8Y0ZxJ7l6	/tmp/www.google.com/202408182100/www.google.lk/url.ac3dd.delayed	(from https://www.google.lk/preferences?hl=en)
21:00:14	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2018%20Aug%202024%2021:00:14%20GMT	https://www.google.lk/setting/search/privateresults?hl=en&authuser=0	/tmp/www.google.com/202408182100/www.google.lk/setting/search/privateresults.b61d6.delayed	(from https://www.google.lk/preferences?hl=en)
21:00:15	286/286	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Aug%202024%2021:00:15%20GMT	https://www.google.lk/url?q=/safesearch%3Fhl%3Den%26prev%3Dhttps://www.google.lk/preferences%3Fhl%253Den&opi=89978449&sa=U&ved=0ahUKEwj2l_XPt_-HAxUbEFkFHdMeOzYQ1fMKCAM&usg=AOvVaw2nO905xO0dimPU4blp5jza	/tmp/www.google.com/202408182100/www.google.lk/url.c9732.delayed	(from https://www.google.lk/preferences?hl=en)
21:00:15	0/0	---M--	302	error ('Found')	application/binary	date:Sun,%2018%20Aug%202024%2021:00:15%20GMT	https://www.google.lk/setting/search/privateresults/?hl=en&authuser=0	/tmp/www.google.com/202408182100/www.google.lk/setting/search/privateresults/index61d6.html	(from https://www.google.lk/preferences?hl=en)
21:00:17	4087/4087	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2021:00:16%20GMT	https://www.google.lk/safesearch?hl=en&prev=https://www.google.lk/preferences?hl%3Den	/tmp/www.google.com/202408182100/www.google.lk/safesearchb026.html	(from https://www.google.lk/preferences?hl=en)
21:00:17	271/271	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Aug%202024%2021:00:17%20GMT	https://www.google.lk/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Den%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwj2l_XPt_-HAxUbEFkFHdMeOzYQ8KwCCAc&usg=AOvVaw390-U6TMnM72qooQX8-3aQ	/tmp/www.google.com/202408182100/www.google.lk/url.e008e.delayed	(from https://www.google.lk/preferences?hl=en)
21:00:18	247/247	---M--	302	error ('Found')	text/html	date:Sun,%2018%20Aug%202024%2021:00:18%20GMT	https://www.google.lk/url?q=https://policies.google.com/privacy%3Fhl%3Den%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwj2l_XPt_-HAxUbEFkFHdMeOzYQ8awCCAg&usg=AOvVaw0z_8HLaAsAtpbnj_m32r5C	/tmp/www.google.com/202408182100/www.google.lk/url.fed63.delayed	(from https://www.google.lk/preferences?hl=en)
