date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:30:03	2071/2071	---MCZ	200	added ('OK')	text/plain	date:Wed,%2031%20Jul%202024%2018:30:00%20GMT	https://www.google.lk/robots.txt		(from )
06:30:03	41823/41823	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202024%2006:30:02%20GMT	https://www.google.lk/	/tmp/www.google.com/202408170630/www.google.lk/index.html	(from )
06:30:05	41625/41625	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202024%2006:30:03%20GMT	https://www.google.lk/imghp?hl=en&tab=wi	/tmp/www.google.com/202408170630/www.google.lk/imghp5881.html	(from https://www.google.lk/)
06:30:05	23884/23884	---MCZ	200	added ('OK')	application/xhtml+xml	date:Sat,%2017%20Aug%202024%2006:30:04%20GMT	https://www.google.lk/preferences?hl=en	/tmp/www.google.com/202408170630/www.google.lk/preferencesfef7	(from https://www.google.lk/)
06:30:05	5482/5482	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.lk/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	/tmp/www.google.com/202408170630/www.google.lk/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.lk/)
06:30:07	1109/1109	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/services/	/tmp/www.google.com/202408170630/www.google.lk/services/index.html	(from https://www.google.lk/)
06:30:07	295571/295571	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202024%2006:30:06%20GMT	https://www.google.lk/advanced_search?hl=en&authuser=0	/tmp/www.google.com/202408170630/www.google.lk/advanced_search61d6.html	(from https://www.google.lk/)
06:30:07	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202024%2006:30:07%20GMT	https://www.google.lk/intl/en/ads/	/tmp/www.google.com/202408170630/www.google.lk/intl/en/ads/index.html	(from https://www.google.lk/)
06:30:07	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202024%2006:30:07%20GMT	https://www.google.lk/intl/en/about.html	/tmp/www.google.com/202408170630/www.google.lk/intl/en/about.4.delayed	(from https://www.google.lk/)
06:30:08	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202024%2006:30:08%20GMT	https://www.google.lk/intl/en/about/	/tmp/www.google.com/202408170630/www.google.lk/intl/en/about/index.html	(from https://www.google.lk/)
06:30:08	219/219	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:08%20GMT	https://www.google.lk/setprefdomain?prefdom=US&sig=K_LnI6gq54ZftZ4zfUQIhvdYDtd_4%3D	/tmp/www.google.com/202408170630/www.google.lk/setprefdomain.57e71.delayed	(from https://www.google.lk/)
06:30:09	1369/1369	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/intl/en/policies/terms/	/tmp/www.google.com/202408170630/www.google.lk/intl/en/policies/terms/index.html	(from https://www.google.lk/)
06:30:09	1377/1377	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/intl/en/policies/privacy/	/tmp/www.google.com/202408170630/www.google.lk/intl/en/policies/privacy/index.html	(from https://www.google.lk/)
06:30:10	41625/41625	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202024%2006:30:09%20GMT	https://www.google.lk/imghp?hl=en&tab=ii	/tmp/www.google.com/202408170630/www.google.lk/imghpee58.html	(from https://www.google.lk/imghp?hl=en&tab=wi)
06:30:10	5482/5482	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.lk/intl/en_ALL/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	/tmp/www.google.com/202408170630/www.google.lk/intl/en_ALL/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.lk/imghp?hl=en&tab=wi)
06:30:12	294838/294838	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202024%2006:30:11%20GMT	https://www.google.lk/advanced_image_search?hl=en&authuser=0	/tmp/www.google.com/202408170630/www.google.lk/advanced_image_search61d6.html	(from https://www.google.lk/imghp?hl=en&tab=wi)
06:30:12	318/318	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:12%20GMT	https://www.google.lk/url?q=https://myactivity.google.com/product/search/controls%3Futm_source%3Dgoogle%26utm_medium%3Dpref-page%26hl%3Den%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwimgKams_uHAxXQElkFHah7OcMQ7JsICAE&usg=AOvVaw3TASu-WozxUKC0f1adfBGc	/tmp/www.google.com/202408170630/www.google.lk/url.94fe2.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:13	269/269	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:13%20GMT	https://www.google.lk/url?q=/setting/search/privateresults%3Fhl%3Den%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwimgKams_uHAxXQElkFHah7OcMQ-vUJCAI&usg=AOvVaw2RVW37IWPkbLltpeK11x0d	/tmp/www.google.com/202408170630/www.google.lk/url.a76b3.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:14	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2017%20Aug%202024%2006:30:14%20GMT	https://www.google.lk/setting/search/privateresults?hl=en&authuser=0	/tmp/www.google.com/202408170630/www.google.lk/setting/search/privateresults.b61d6.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:15	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2017%20Aug%202024%2006:30:15%20GMT	https://www.google.lk/setting/search/privateresults/?hl=en&authuser=0	/tmp/www.google.com/202408170630/www.google.lk/setting/search/privateresults/index61d6.html	(from https://www.google.lk/preferences?hl=en)
06:30:15	286/286	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:15%20GMT	https://www.google.lk/url?q=/safesearch%3Fhl%3Den%26prev%3Dhttps://www.google.lk/preferences%3Fhl%253Den&opi=89978449&sa=U&ved=0ahUKEwimgKams_uHAxXQElkFHah7OcMQ1fMKCAM&usg=AOvVaw0XEBbGt8QxsSceMWe6A0Va	/tmp/www.google.com/202408170630/www.google.lk/url.c647f.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:17	4087/4087	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Aug%202024%2006:30:16%20GMT	https://www.google.lk/safesearch?hl=en&prev=https://www.google.lk/preferences?hl%3Den	/tmp/www.google.com/202408170630/www.google.lk/safesearchb026.html	(from https://www.google.lk/preferences?hl=en)
06:30:17	271/271	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:17%20GMT	https://www.google.lk/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Den%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwimgKams_uHAxXQElkFHah7OcMQ8KwCCAc&usg=AOvVaw1f1GyKuLlQPBoPyrS2QXmK	/tmp/www.google.com/202408170630/www.google.lk/url.e0fdf.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:18	247/247	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:18%20GMT	https://www.google.lk/url?q=https://policies.google.com/privacy%3Fhl%3Den%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwimgKams_uHAxXQElkFHah7OcMQ8awCCAg&usg=AOvVaw3NwwMwjcJB6ed0JnjUzqDq	/tmp/www.google.com/202408170630/www.google.lk/url.facc5.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:19	245/245	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:19%20GMT	https://www.google.lk/url?q=https://policies.google.com/terms%3Fhl%3Den%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwimgKams_uHAxXQElkFHah7OcMQ8qwCCAk&usg=AOvVaw0M1RWGZG52vEjHJu2v4w0n	/tmp/www.google.com/202408170630/www.google.lk/url.10fdcf.delayed	(from https://www.google.lk/preferences?hl=en)
06:30:20	1600/1600	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Aug%202024%2006:30:20%20GMT	https://www.google.lk/gci_91f30755d6a6b787dcc2a4062e6e9824.js	/tmp/www.google.com/202408170630/www.google.lk/gci_91f30755d6a6b787dcc2a4062e6e9824.11.delayed	(from https://www.google.lk/advanced_search?hl=en&authuser=0)
